iter	Passed	Remaining
329	61031	114664
330	61177	114407
331	61340	114181
332	61476	113907
333	61615	113637
334	61756	113373
335	61876	113072
336	62041	112853
337	62173	112574
338	62313	112312
339	62454	112050
340	62599	111797
341	62755	111564
342	62908	111328
343	63037	111047
344	63168	110774
345	63280	110466
346	63453	110265
347	63601	110023
348	63748	109779
349	63876	109502
350	64058	109318
351	64211	109087
352	64359	108845
353	64489	108575
354	64619	108305
355	64744	108028
356	64904	107811
357	65036	107547
358	65204	107341
359	65356	107111
360	65491	106855
361	65615	106580
362	65729	106289
363	65853	106016
364	66005	105789
365	66135	105527
366	66273	105278
367	66388	104994
368	66498	104703
369	66623	104437
370	66769	104204
371	66924	103984
372	67068	103750
373	67202	103499
374	67357	103282
375	67481	103016
376	67614	102766
377	67717	102471
378	67851	102224
379	67975	101962
380	68138	101761
381	68276	101521
382	68420	101291
383	68537	101020
384	68663	100766
385	68807	100537
386	68936	100287
387	69106	100097
388	69215	99820
389	69357	99589
390	69499	99361
391	69646	99139
392	69778	98896
393	69887	98623
394	69997	98351
395	70143	98130
396	70295	97917
397	70449	97708
398	70576	97462
399	70716	97235
400	70862	97016
401	70996	96781
402	71126	96541
403	71259	96306
404	71379	96053
405	71516	95825
406	71630	95566
407	71780	95355
408	71904	95111
409	72021	94857
410	72160	94633
411	72295	94405
412	72459	94214
413	72600	93994
414	72733	93764
415	72870	93540
416	72991	93296
417	73124	93067
418	73251	92831
419	73370	92586
420	73496	92351
421	73630	92125
422	73759	91893
423	73922	91706
424	74063	91490
425	74175	91239
426	74329	91040
427	74459	90812
428	74588	90584
429	74707	90344
430	74845	90127
431	74954	89875
432	75081	89646
433	75216	89428
434	75341	89197
435	75468	88969
436	75584	88730
437	75711	88502
438	75857	88298
439	75996	88087
440	76135	87875
441	76261	87648
442	76377	87412
443	76519	87204
444	76685	87025
445	76836	86828
446	76933	86572
447	77050	86338
448	77157	86093
449	77292	85881
450	77432	85673
451	77549	85442
452	77676	85220
453	77828	85028
454	77940	84792
455	78053	84557
456	78181	84340
457	78340	84156
458	78460	83930
459	78588	83714
460	78697	83476
461	78821	83257
462	78964	83057
463	79064	82813
464	79183	82589
465	79283	82346
466	79385	82105
467	79516	81895
468	79654	81692
469	79775	81472
470	79928	81285
471	80032	81050
472	80171	80849
473	80297	80636
474	80435	80435
475	80556	80217
476	80682	80006
477	80787	79773
478	80941	79589
479	81046	79358
480	81181	79155
481	81311	78950
482	81460	78761
483	81610	78574
484	81739	78368
485	81853	78148
486	81999	77958
487	82107	77733
488	82219	77511
489	82328	77287
490	82474	77099
491	82568	76862
492	82670	76634
493	82775	76408
494	82914	76214
495	83028	75997
496	83144	75783
497	83279	75586
498	83414	75390
499	83516	75165
500	83630	74950
501	83771	74760
502	83877	74539
503	84014	74345
504	84112	74118
505	84245	73922
506	84372	73721
507	84498	73520
508	84631	73324
509	84764	73130
510	84878	72919
511	85027	72738
512	85144	72530
513	85270	72330
514	85389	72125
515	85520	71929
516	85648	71732
517	85762	71524
518	85912	71345
519	86052	71159
520	86217	70992
521	86344	70795
522	86468	70597
523	86586	70392
524	86707	70192
525	86819	69983
526	86926	69771
527	87038	69564
528	87167	69371
529	87307	69186
530	87443	68999
531	87571	68806
532	87698	68611
533	87843	68432
534	88011	68270
535	88154	68089
536	88280	67895
537	88410	67704
538	88524	67501
539	88630	67293
540	88770	67111
541	88892	66915
542	89008	66715
543	89126	66517
544	89251	66324
545	89384	66137
546	89513	65948
547	89612	65737
548	89739	65547
549	89854	65348
550	89979	65157
551	90100	64963
552	90218	64768
553	90323	64563
554	90447	64372
555	90583	64190
556	90712	64003
557	90810	63795
558	90935	63606
559	91047	63408
560	91158	63209
561	91264	63008
562	91387	62818
563	91507	62627
564	91617	62429
565	91746	62245
566	91857	62048
567	91971	61854
568	92094	61666
569	92246	61497
570	92376	61314
571	92481	61115
572	92617	60937
573	92732	60744
574	92867	60565
575	92988	60377
576	93130	60204
577	93242	60010
578	93370	59827
579	93473	59629
580	93575	59430
581	93698	59245
582	93832	59067
583	93949	58879
584	94074	58696
585	94213	58521
586	94362	58353
587	94523	58193
588	94678	58029
589	94807	57848
590	94922	57660
591	95031	57468
592	95152	57284
593	95318	57126
594	95446	56946
595	95571	56765
596	95690	56580
597	95802	56391
598	95918	56206
599	96055	56032
600	96209	55868
601	96343	55693
602	96480	55520
603	96620	55348
604	96759	55177
605	96886	54998
606	97020	54823
607	97119	54629
608	97272	54466
609	97372	54273
610	97499	54095
611	97634	53922
612	97749	53738
613	97887	53567
614	98015	53390
615	98155	53220
616	98275	53039
617	98401	52862
618	98538	52692
619	98652	52508
620	98773	52329
621	98870	52137
622	99019	51973
623	99146	51797
624	99276	51623
625	99429	51461
626	99570	51293
627	99705	51122
628	99841	50952
629	99959	50773
630	100110	50610
631	100264	50449
632	100372	50265
633	100511	50097
634	100669	49938
635	100778	49755
636	100893	49575
637	101043	49413
638	101155	49232
639	101259	49047
640	101393	48877
641	101537	48712
642	101697	48555
643	101817	48379
644	101942	48205
645	102090	48042
646	102196	47860
647	102296	47675
648	102443	47512
649	102582	47345
650	102731	47183
651	102831	46999
652	102951	46824
653	103061	46645
654	103168	46465
655	103298	46295
656	103429	46126
657	103550	45952
658	103712	45797
659	103852	45631
660	104011	45475
661	104138	45304
662	104255	45130
663	104354	44947
664	104478	44776
665	104583	44597
666	104710	44427
667	104852	44264
668	104978	44094
669	105117	43929
670	105254	43764
671	105379	43594
672	105512	43427
673	105648	43262
674	105761	43088
675	105900	42924
676	106025	42754
677	106161	42589
678	106299	42425
679	106454	42268
680	106585	42102
681	106704	41930
682	106835	41764
683	106974	41601
684	107102	41433
685	107246	41272
686	107373	41105
687	107514	40943
688	107639	40774
689	107762	40606
690	107911	40447
691	108039	40280
692	108162	40112
693	108290	39945
694	108413	39777
695	108530	39607
696	108658	39441
697	108813	39284
698	108952	39123
699	109075	38955
700	109209	38791
701	109335	38625
702	109487	38468
703	109600	38297
704	109748	38139
705	109856	37967
706	110041	37821
707	110193	37665
708	110341	37506
709	110482	37346
710	110611	37181
711	110741	37017
712	110847	36845
713	111003	36690
714	111153	36532
715	111267	36363
716	111376	36193
717	111514	36032
718	111643	35868
719	111775	35705
720	111880	35534
721	112016	35373
722	112159	35214
723	112259	35042
724	112416	34887
725	112533	34721
726	112635	34549
727	112766	34387
728	112875	34218
729	113035	34065
730	113170	33904
731	113288	33738
732	113409	33574
733	113519	33406
734	113658	33247
735	113788	33085
736	113888	32914
737	114025	32755
738	114173	32598
739	114275	32429
740	114446	32279
741	114593	32123
742	114746	31968
743	114910	31816
744	115048	31657
745	115198	31501
746	115359	31349
747	115478	31185
748	115603	31022
749	115724	30859
750	115887	30707
751	116037	30552
752	116355	30440
753	116477	30278
754	116620	30120
755	116742	29957
756	116877	29798
757	117017	29640
758	117116	29471
759	117260	29315
760	117383	29153
761	117504	28990
762	117664	28837
763	117777	28673
764	117950	28523
765	118055	28358
766	118179	28196
767	118325	28040
768	118431	27875
769	118585	27721
770	118694	27556
771	118858	27405
772	118992	27246
773	119144	27092
774	119244	26926
775	119387	26769
776	119516	26610
777	119675	26457
778	119805	26298
779	119923	26137
780	120070	25981
781	120212	25825
782	120322	25662
783	120478	25509
784	120614	25352
785	120745	25193
786	120864	25032
787	121019	24879
788	121167	24724
789	121308	24568
790	121410	24404
791	121530	24244
792	121658	24086
793	121789	23928
794	121952	23776
795	122093	23621
796	122192	23457
797	122340	23302
798	122485	23148
799	122639	22994
800	122768	22837
801	122900	22679
802	123012	22519
803	123139	22361
804	123250	22200
805	123406	22047
806	123523	21888
807	123636	21728
808	123753	21568
809	123859	21407
810	123968	21247
811	124090	21089
812	124207	20930
813	124315	20770
814	124456	20615
815	124600	20461
816	124732	20305
817	124870	20150
818	125003	19994
819	125160	19842
820	125310	19689
821	125433	19532
822	125569	19377
823	125699	19221
824	125845	19067
825	126008	18916
826	126156	18763
827	126279	18606
828	126422	18452
829	126552	18296
830	126695	18142
